Results,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close
2014-03-13,1.3859,101.628,0.8749,1.6614,1.1056
2014-03-14,1.3908,101.33,0.8726,1.6632,1.1092
2014-03-17,1.3923,101.74,0.873,1.6631,1.1058
2014-03-18,1.3934,101.391,0.8731,1.6591,1.1139
2014-03-19,1.3829,102.52,0.8811,1.6529,1.1244
2014-03-20,1.3775,102.407,0.884,1.6497,1.1242
2014-03-21,1.3796,102.104,0.8821,1.6495,1.1212
2014-03-24,1.384,102.238,0.8808,1.6502,1.1189
2014-03-25,1.3824,102.276,0.8829,1.6531,1.1158
2014-03-26,1.3793,102.048,0.884,1.659,1.1106
2014-03-27,1.3744,102.155,0.8862,1.661,1.103
2014-03-28,1.375,102.807,0.8867,1.6641,1.1062
2014-03-31,1.3781,103.214,0.8838,1.6673,1.1051
2014-04-01,1.3793,103.679,0.8832,1.6631,1.1028
2014-04-02,1.3762,103.837,0.8865,1.6622,1.1023
2014-04-03,1.3715,103.94,0.8912,1.6594,1.1032
2014-04-04,1.3705,103.24,0.891,1.6579,1.098
2014-04-07,1.3743,103.15,0.8877,1.6608,1.0965
2014-04-08,1.3794,101.694,0.8834,1.6745,1.0922
2014-04-09,1.3851,101.974,0.8796,1.6789,1.0869
2014-04-10,1.3887,101.485,0.8763,1.6778,1.0925
2014-04-11,1.3882,101.62,0.8755,1.6737,1.0972
2014-04-14,1.382,101.743,0.8795,1.6728,1.0963
2014-04-15,1.3813,101.804,0.8802,1.6723,1.0977
2014-04-16,1.3813,102.28,0.882,1.6794,1.1017
2014-04-17,1.3814,102.45,0.8828,1.6794,1.1009
2014-04-18,1.3818,102.379,0.8825,1.679,1.1012
2014-04-21,1.3793,102.602,0.8844,1.6799,1.1012
2014-04-22,1.3804,102.61,0.8848,1.6823,1.1024
2014-04-23,1.3816,102.44,0.883,1.6778,1.1032
2014-04-24,1.3827,102.311,0.8819,1.6801,1.1026
2014-04-25,1.3832,102.165,0.8812,1.6797,1.1035
2014-04-28,1.3848,102.54,0.8803,1.6806,1.1019
2014-04-29,1.3811,102.566,0.8832,1.6829,1.0955
2014-04-30,1.387,102.16,0.88,1.6879,1.0951
2014-05-01,1.3865,102.304,0.8793,1.6887,1.0963
2014-05-02,1.387,102.232,0.8781,1.6872,1.0981
2014-05-05,1.3876,102.1,0.8776,1.6866,1.0953
2014-05-06,1.3928,101.639,0.874,1.698,1.0877
2014-05-07,1.3912,101.825,0.8757,1.6955,1.0893
2014-05-08,1.3852,101.546,0.8791,1.6939,1.0823
2014-05-09,1.3754,101.81,0.8865,1.6849,1.0898
2014-05-12,1.3757,102.168,0.8877,1.6867,1.0894
2014-05-13,1.3701,102.271,0.8903,1.6825,1.0907
2014-05-14,1.371,101.772,0.8897,1.6768,1.0877
2014-05-15,1.371,101.54,0.8904,1.6793,1.0874
2014-05-16,1.37,101.53,0.8915,1.682,1.0858
2014-05-19,1.3709,101.389,0.892,1.6821,1.0868
2014-05-20,1.3698,101.32,0.892,1.684,1.0895
2014-05-21,1.3685,101.406,0.8933,1.6902,1.0915
2014-05-22,1.3654,101.787,0.8944,1.6864,1.0894
2014-05-23,1.363,101.977,0.8954,1.6828,1.087
2014-05-26,1.3645,101.922,0.8946,1.6844,1.0853
2014-05-27,1.3636,101.97,0.8966,1.6807,1.0859
2014-05-28,1.3594,101.84,0.898,1.6711,1.0875
2014-05-29,1.3602,101.7,0.8978,1.6713,1.0839
2014-05-30,1.3631,101.802,0.8953,1.6761,1.0842
2014-06-02,1.3597,102.427,0.8986,1.6744,1.0899
2014-06-03,1.3625,102.527,0.8964,1.6746,1.0908
2014-06-04,1.3599,102.713,0.897,1.6741,1.0934
